TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
AALR3;5,27;;-11,42;0,75;0,28;27,98;10,49;-5,65;6,15;10,27;4,17;0,51;0,64;-63,52;-0,38;0,98;-6,53;-2,46;6,81;0,38;0,61;0,43;2,55;;286.975,32;7,06;-0,46;0,15;795.316.496,04
ABCB4;21,05;9,26;5,39;0,81;0,07;23,05;13,51;11,24;4,49;4,49;;;0,61;1,57;-0,08;2,58;14,95;1,38;;0,09;0,91;0,12;20,08;18,02;15.417.476,09;26,07;3,90;0,19;5.145.133.702,71
ABEV3;13,55;6,80;14,82;2,26;1,45;51,46;24,69;15,74;9,45;8,67;-0,76;-0,18;2,33;50,83;-2,06;1,11;15,27;9,80;17,40;0,64;0,35;0,62;11,20;4,14;294.836.810,82;6,00;0,92;-29,96;213.412.588.756,24
ADHM3;1,56;;-4,09;-1,29;105,12;100,00;-13.548,48;-18.860,61;-5,69;-5,69;0,00;;770,90;-1,43;-116,16;0,00;-31,47;-2.571,90;22,61;-81,72;82,72;0,14;;;;-1,21;-0,38;-0,58;25.439.770,20
AERI3;4,30;;-0,27;2,41;0,13;10,79;-63,54;-81,51;-0,35;-2,31;-1,96;13,58;0,22;-30,40;-0,21;0,99;-889,48;-46,89;-47,60;0,05;0,95;0,58;12,70;;480.841,73;1,79;-15,89;0,00;267.738.044,76
AESB3;8,12;;-16,19;1,17;0,37;26,76;21,13;-10,72;8,21;18,23;10,02;1,42;1,74;-6,64;-0,42;0,67;-7,21;-2,28;4,73;0,32;0,63;0,21;;;13.684.494,00;6,96;-0,50;0,01;6.973.842.690,64
AFLT3;7,60;5,65;17,88;1,94;1,53;64,93;58,24;42,88;13,16;12,58;-0,58;-0,09;7,67;16,78;-2,02;1,59;10,84;8,53;9,28;0,79;0,21;0,20;14,85;3,47;1.217,92;3,92;0,43;-2,71;479.443.720,00
AGRO3;20,69;7,52;6,86;0,98;0,53;39,38;29,46;22,84;5,32;8,47;3,15;0,58;1,57;4,59;-0,78;1,58;14,27;7,79;9,29;0,55;0,45;0,34;13,78;11,82;2.850.347,77;21,13;3,02;0,22;2.124.520.456,36
AGXY3;6,09;;-0,04;-0,05;0,03;-4,18;-59,21;-86,99;-0,05;-0,68;-0,63;;0,03;-0,03;-0,06;0,33;-145,31;-83,71;433,24;-0,58;1,58;0,96;24,29;;81.286,00;-118,43;-172,09;0,00;103.344.687,39
AHEB3;35,80;;3,95;1,91;0,59;16,65;9,34;11,83;5,00;3,92;-1,13;-0,43;0,47;1,51;-1,49;2,89;48,31;15,01;36,52;0,31;0,69;1,27;50,82;;7.520,00;18,75;9,06;-0,40;308.482.931,60
AHEB5;58,00;;6,40;3,09;0,96;16,65;9,34;11,83;8,11;3,92;-1,13;-0,43;0,76;2,44;-2,41;2,89;48,31;15,01;36,52;0,31;0,69;1,27;50,82;;4.350,00;18,75;9,06;-0,65;308.482.931,60
AHEB6;55,00;;6,07;2,93;0,91;16,65;9,34;11,83;7,69;3,92;-1,13;-0,43;0,72;2,32;-2,28;2,89;48,31;15,01;36,52;0,31;0,69;1,27;50,82;;5.500,00;18,75;9,06;-0,61;308.482.931,60
ALLD3;6,94;18,77;5,91;0,41;0,19;12,00;3,42;2,08;3,60;4,36;0,75;0,09;0,12;0,58;-0,65;1,86;6,90;3,22;8,54;0,47;0,53;1,54;8,27;1,88;175.781,64;16,95;1,17;-0,20;653.045.049,13
ALOS3;22,14;4,51;13,94;0,89;0,45;74,10;59,06;31,40;7,41;5,51;-1,90;-0,23;4,38;4,67;-0,53;2,87;6,42;3,24;11,12;0,51;0,47;0,10;29,82;108,22;62.295.778,00;24,74;1,59;0,20;12.009.764.427,08
ALPA3;7,77;1,25;27,14;1,31;0,83;44,69;3,36;4,58;36,99;37,66;-1,44;-0,05;1,24;3,15;-1,63;2,17;4,83;3,06;1,60;0,63;0,36;0,67;2,05;-6,53;36.155,82;5,93;0,29;-0,24;5.609.718.813,98
ALPA4;8,65;1,23;30,25;1,46;0,93;44,69;3,36;4,58;41,23;37,66;-1,44;-0,05;1,39;3,51;-1,82;2,17;4,83;3,06;1,60;0,63;0,36;0,67;2,05;-6,53;8.531.616,45;5,93;0,29;-0,27;5.609.718.813,98
ALPK3;3,10;;-146,61;1,94;0,27;33,20;13,58;-0,28;3,02;8,70;5,67;3,65;0,41;-2,34;-0,33;0,58;-1,33;-0,19;12,18;0,14;0,85;0,67;7,96;;222.058,27;1,59;-0,02;1,59;672.774.477,50
ALUP11;30,00;2,90;8,75;1,16;0,32;71,15;71,29;26,72;3,28;6,24;2,97;1,05;2,34;2,88;-0,40;2,15;13,26;3,62;11,75;0,27;0,61;0,14;-2,71;4,88;33.900.529,73;25,84;3,43;0,15;9.872.324.666,65
ALUP3;10,69;2,71;9,36;1,24;0,34;71,15;71,29;26,72;3,51;6,24;2,97;1,05;2,50;3,08;-0,43;2,15;13,26;3,62;11,75;0,27;0,61;0,14;-2,71;4,88;49.170,45;8,61;1,14;0,16;9.872.324.666,65
ALUP4;9,60;2,99;8,48;1,12;0,31;71,15;71,29;26,72;3,18;6,24;2,97;1,05;2,27;2,80;-0,39;2,15;13,26;3,62;11,75;0,27;0,61;0,14;-2,71;4,88;74.536,64;8,61;1,14;0,15;9.872.324.666,65
AMAR3;1,26;;-3,92;2,25;0,32;50,10;4,91;-11,49;9,16;18,09;9,00;2,21;0,45;-1,73;-0,44;0,60;-57,47;-8,08;6,21;0,14;0,86;0,70;-13,55;;129.472,09;0,56;-0,32;0,06;641.820.053,75
AMBP3;145,51;;-107,92;18,44;1,41;19,32;17,75;-3,26;19,85;24,96;5,11;4,75;3,52;4,89;-2,53;2,88;-17,09;-1,31;8,47;0,08;0,86;0,40;67,64;;25.072.361,86;7,88;-1,35;-15,52;24.261.161.053,56
AMER3;5,16;;0,14;0,23;0,06;31,11;-5,71;53,64;-1,32;-2,56;-1,24;0,22;0,08;0,44;-0,10;1,49;163,84;42,19;-144,30;0,26;0,74;0,79;16,22;;10.820.696,59;22,35;36,62;0,00;1.033.260.696,36
AMOB3;11,20;;;;;;;;;;;;;;;;;;;;;;;;1.225.848,86;;;;0,00
ANIM3;3,87;13,56;13,44;0,66;0,16;61,77;22,82;3,02;1,78;6,31;4,53;1,68;0,41;1,31;-0,20;2,06;4,91;1,17;10,16;0,24;0,71;0,39;26,33;;16.716.323,05;5,87;0,29;-0,08;1.558.933.587,30
APER3;46,75;;-32,82;2,02;1,01;100,00;6,60;-8,16;40,57;43,31;2,74;0,14;2,68;115,28;-1,38;1,03;-6,15;-3,09;2,91;0,50;0,50;0,38;29,52;;51.166,00;23,16;-1,42;0,16;953.269.946,75
APTI3;197,64;;0,15;0,01;0,01;100,11;29,38;66,99;0,33;0,13;-3,23;-0,14;0,10;0,02;-0,01;5,86;9,84;4,97;2,72;0,51;0,49;0,07;-2,98;;;13.858,30;1.363,32;0,00;37.417.457,40
APTI4;2.930,92;;2,15;0,21;0,11;100,11;29,38;66,99;4,90;0,13;-3,23;-0,14;1,44;0,27;-0,20;5,86;9,84;4,97;2,72;0,51;0,49;0,07;-2,98;;0,00;13.858,30;1.363,32;-0,04;37.417.457,40
