TICKER;NOTA;TIER 1;TIER 2;PRECO;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS;ROE;DY;PSR; LPA;P/VP;DIVIDA LIQUIDA / EBIT;LIQ. CORRENTE;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA
ABCB4;1;1;1;21;20,08%;18,02%;14,95%;9,26%;0,61;3,9;0,81;0;2,58;23,05%;13,51%;11,24%
BALM3;1;1;1;21;5,42%;37,76%;16,99%;3,05%;0,99;3,17;1,13;-1,5;3,3;61,72%;20,12%;14,96%
BALM4;1;1;1;16,23;5,42%;37,76%;16,99%;8,37%;0,77;3,17;0,87;-1,5;3,3;61,72%;20,12%;14,96%
BGIP3;1;1;1;34,99;13,80%;18,70%;20,62%;11,03%;0,6;6,84;1,05;0;0,8;39,62%;17,00%;11,80%
BGIP4;1;1;1;29,1;13,80%;18,70%;20,62%;14,59%;0,5;6,84;0,88;0;0,8;39,62%;17,00%;11,80%
CAMB3;1;1;1;9,92;14,78%;29,95%;25,25%;8,48%;0,99;1,77;1,41;-0,53;3,09;48,85%;20,11%;17,59%
CMIG4;1;1;1;10,44;9,42%;17,50%;25,09%;17,51%;0,74;2,45;1,07;1,09;1,06;19,63%;23,79%;17,25%
EALT3;1;1;1;15,39;13,53%;41,25%;28,11%;1,24%;0,59;4,21;1,03;0,81;1,27;29,10%;20,65%;16,13%
EALT4;1;1;1;14,1;13,53%;41,25%;28,11%;1,49%;0,54;4,21;0,94;0,81;1,27;29,10%;20,65%;16,13%
KEPL3;1;1;1;7,45;22,47%;35,65%;24,17%;8,78%;0,85;0,96;1,88;-0,13;2,01;28,03%;15,90%;10,89%
LEVE3;1;1;1;29,36;12,53%;14,04%;56,36%;8,98%;0,83;3,69;4,49;0,87;1,34;27,77%;16,85%;10,40%
POMO3;1;1;1;6,52;14,78%;41,24%;28,59%;8,82%;0,86;1;1,87;0,95;1,7;24,73%;16,33%;13,14%
SHUL4;1;1;1;5,17;12,91%;22,36%;18,15%;7,44%;0,93;0,75;1,26;-0,16;3,1;26,23%;14,79%;13,43%
SOND3;1;1;1;47;25,49%;40,27%;33,27%;12,13%;0,56;9,69;1,61;-0,95;2,07;30,11%;15,95%;11,54%
SOND5;1;1;1;44,96;25,49%;40,27%;33,27%;13,95%;0,54;9,69;1,54;-0,95;2,07;30,11%;15,95%;11,54%
SOND6;1;1;1;37,85;25,49%;40,27%;33,27%;16,57%;0,45;9,69;1,3;-0,95;2,07;30,11%;15,95%;11,54%
SYNE3;1;1;1;5,94;23,59%;76,27%;51,13%;56,15%;0,68;3,66;0,83;0,48;5,43;41,41%;62,11%;42,00%
TKNO3;1;1;1;99,98;15,06%;38,60%;14,79%;4,07%;0,99;16,28;0,91;-1,34;3,45;26,46%;17,21%;16,12%
TKNO4;1;1;1;82;15,06%;38,60%;14,79%;8,59%;0,81;16,28;0,74;-1,34;3,45;26,46%;17,21%;16,12%
ALLD3;1,5;1;2;6,95;8,27%;1,88%;6,90%;18,66%;0,12;1,17;0,41;0,75;1,86;12,00%;3,42%;2,08%
BBAS3;1,5;1;2;20,62;17,31%;8,51%;13,57%;11,56%;0,42;4,3;0,65;0;14,03;36,83%;6,66%;8,86%
GMAT3;1,5;1;2;7,79;31,90%;32,81%;13,93%;2,77%;0,53;0,62;1,75;0,28;2,4;22,79%;6,75%;4,22%
LVTC3;1,5;1;2;3,6;10,59%;9,93%;4,84%;5,28%;0,27;0,51;0,34;-2,1;1,76;27,19%;8,17%;3,81%
MELK3;1,5;1;2;3,38;12,82%;3,68%;5,03%;13,02%;0,69;0,26;0,64;-0,01;2,78;21,83%;6,10%;5,40%
MTSA4;1,5;1;2;43,11;11,91%;15,34%;7,91%;6,38%;0,73;4,18;0,82;-4;5,36;23,76%;7,29%;7,06%
PATI3;1,5;1;2;40,44;14,96%;37,28%;11,05%;14,36%;0,44;3,63;1,23;0,36;2,2;12,30%;6,16%;3,99%
PATI4;1,5;1;2;35,99;14,96%;37,28%;11,05%;19,29%;0,4;3,63;1,1;0,36;2,2;12,30%;6,16%;3,99%
PSSA3;1,5;1;2;51,13;14,28%;15,43%;20,39%;4,60%;0,91;4,37;2,39;-3,13;1,13;100,00%;8,76%;7,79%
RADL3;1,5;1;2;13,71;17,22%;8,78%;18,13%;2,97%;0,59;0,68;3,63;1,17;1,34;29,58%;5,79%;2,95%
SOJA3;1,5;1;2;10,86;35,41%;30,27%;7,42%;2,74%;0,77;0,74;1,09;-0,26;3,46;12,79%;8,38%;5,26%
TTEN3;1,5;1;2;13,45;41,95%;45,71%;19,11%;1,42%;0,49;1,59;1,62;0,46;1,45;18,63%;8,77%;5,82%
BRQB3;1,5;2;1;0;6,83%;16,94%;26,51%;0,00%;0;0,48;0;-1,57;2,81;36,32%;15,32%;11,02%
CAMB4;1,5;2;1;6,25;14,78%;29,95%;25,25%;0,00%;0,62;1,77;0,89;-0,53;3,09;48,85%;20,11%;17,59%
CTCA3;1,5;2;1;0;11,54%;55,39%;15,60%;0,00%;0;0,55;0;-3,45;5,53;67,04%;31,43%;41,57%
LHER3;1,5;2;1;0;4,31%;-51,59%;1,95%;0,00%;0;2,76;0;-3,77;6,36;63,41%;22,35%;10,99%
LHER4;1,5;2;1;0;4,31%;-51,59%;1,95%;0,00%;0;2,76;0;-3,77;6,36;63,41%;22,35%;10,99%
RSUL3;1,5;2;1;0;17,77%;27,64%;23,36%;0,00%;0;9,66;0;-0,46;2,65;41,05%;21,75%;15,11%
STTR3;1,5;2;1;0;22,02%;0,00%;32,10%;0,00%;0;0,94;0;-0,22;2,46;31,37%;17,25%;14,11%
AHEB3;2;2;2;35,8;50,82%;0,00%;48,31%;0,00%;0,47;9,06;1,91;-1,13;2,89;16,65%;9,34%;11,83%
AHEB5;2;2;2;58;50,82%;0,00%;48,31%;0,00%;0,76;9,06;3,09;-1,13;2,89;16,65%;9,34%;11,83%
AHEB6;2;2;2;55;50,82%;0,00%;48,31%;0,00%;0,72;9,06;2,93;-1,13;2,89;16,65%;9,34%;11,83%
AMER3;2;2;2;5,22;16,22%;0,00%;163,84%;0,00%;0,08;36,62;0,23;-1,24;1,49;31,11%;-5,71%;53,64%
BAUH3;2;2;2;0;5,05%;15,28%;17,98%;0,00%;0;3,92;0;-1,52;1,4;26,22%;9,00%;8,30%
CRIV3;2;2;2;6,98;27,56%;-21,36%;1,89%;0,00%;0,35;0,2;0,66;0;131,56;20,26%;0,43%;0,99%
CRIV4;2;2;2;6,74;27,56%;-21,36%;1,89%;0,00%;0,33;0,2;0,64;0;131,56;20,26%;0,43%;0,99%
DMVF3;2;2;2;4,76;353,03%;0,00%;2,78%;0,00%;0,11;0,49;0,27;0,07;1,08;30,38%;2,82%;1,11%
GUAR3;2;2;2;8,01;4,29%;-11,30%;6,05%;0,00%;0,41;0,65;0,74;1,1;1,49;59,41%;8,05%;3,31%
NUTR3;2;2;2;3,17;25,86%;-30,42%;13,17%;0,00%;0,22;0,42;0,98;0,78;1,81;17,76%;7,05%;2,88%
SOMA3;2;2;2;5,95;37,72%;80,87%;27,15%;0,00%;0,87;2,01;0,8;-0,45;2,36;56,80%;-46,46%;29,33%
ABEV3;2;3;1;13,55;11,20%;4,14%;15,27%;6,81%;2,33;0,92;2,26;-0,76;1,11;51,46%;24,69%;15,74%
AFLT3;2;3;1;7,6;14,85%;3,47%;10,84%;5,65%;7,67;0,43;1,94;-0,58;1,59;64,93%;58,24%;42,88%
ALOS3;2;3;1;22,17;29,82%;108,22%;6,42%;4,50%;4,38;1,59;0,9;-1,9;2,87;74,10%;59,06%;31,40%
B3SA3;2;3;1;13,58;12,34%;11,76%;25,18%;2,18%;6,64;0,9;3,8;0,06;2,13;89,93%;59,29%;43,97%
BLAU3;2;3;1;12,95;12,41%;6,01%;12,18%;2,61%;1,31;1,49;1,05;0,17;3,23;38,95%;22,09%;15,16%
BOAS3;2;3;1;7,95;8,81%;74,34%;12,04%;0,00%;4,93;0,52;1,83;-6,92;12,37;56,53%;19,25%;32,39%
CMIG3;2;3;1;14,9;9,42%;17,50%;25,09%;13,40%;1,05;2,45;1,53;1,09;1,06;19,63%;23,79%;17,25%
CMIN3;2;3;1;5,09;7,57%;-0,28%;35,30%;16,31%;1,65;0,66;2,73;-0,85;2,24;50,45%;31,11%;21,38%
CPRE3;2;3;1;18,23;13,50%;64,55%;22,74%;0,00%;3;1,96;2,11;0,01;0,97;63,99%;48,06%;32,27%
CSUD3;2;3;1;17,99;5,53%;27,77%;18,47%;6,27%;1,3;2,19;1,52;-0,12;1,27;42,13%;22,26%;15,78%
DIRR3;2;3;1;40,68;18,09%;45,38%;29,96%;9,17%;1,98;3,76;3,24;0,44;3,82;37,03%;22,20%;18,26%
ENAT3;2;3;1;21,8;11,74%;5,75%;12,53%;0,00%;2,61;2,12;1,29;0,47;3,9;24,54%;56,10%;25,34%
EQPA3;2;3;1;5,7;13,58%;32,55%;43,35%;11,68%;1,18;0,84;2,9;1,1;1,19;32,46%;25,07%;17,63%
EQPA5;2;3;1;6,46;13,58%;32,55%;43,35%;10,20%;1,35;0,84;3,32;1,1;1,19;32,46%;25,07%;17,63%
EQPA6;2;3;1;8;13,58%;32,55%;43,35%;8,23%;1,67;0,84;4,11;1,1;1,19;32,46%;25,07%;17,63%
EQPA7;2;3;1;8,05;13,58%;32,55%;43,35%;8,18%;1,68;0,84;4,14;1,1;1,19;32,46%;25,07%;17,63%
EZTC3;2;3;1;13,45;14,17%;9,48%;9,02%;8,68%;1,82;2;0,61;1,07;7,71;35,19%;22,74%;27,07%
FIQE3;2;3;1;3,7;44,39%;36,61%;14,27%;2,68%;1,28;0,48;1,1;0,58;1,55;50,81%;25,62%;16,64%
GRND3;2;3;1;5,19;4,88%;7,45%;18,02%;9,26%;1,78;0,79;1,2;-2,75;4,47;47,65%;19,36%;26,72%
ITSA3;2;3;1;10,54;10,46%;8,09%;17,71%;8,39%;14,13;1,38;1,35;0,22;1,97;28,63%;207,75%;185,53%
ITSA4;2;3;1;10,53;10,46%;8,09%;17,71%;8,40%;14,11;1,38;1,35;0,22;1,97;28,63%;207,75%;185,53%
LAVV3;2;3;1;12,5;51,55%;52,04%;24,07%;8,05%;1,53;1,84;1,64;0,01;4,85;34,22%;26,28%;22,48%
LPSB3;2;3;1;1,45;5,45%;0,00%;8,90%;5,02%;1,06;0,14;0,92;-1,74;1,56;80,88%;21,77%;10,21%
MDNE3;2;3;1;22,16;30,95%;0,00%;17,33%;5,59%;1,11;3,29;1,17;0,45;2,62;33,77%;16,55%;16,43%
ODPV3;2;3;1;11,24;4,75%;14,57%;41,21%;8,11%;2,65;1,03;4,5;-0,68;0,85;36,46%;31,61%;24,29%
OFSA3;2;3;1;22,62;10,59%;21,70%;19,44%;3,21%;1,18;2,29;1,92;0,24;2,56;50,58%;81,96%;11,92%
PLPL3;2;3;1;14,1;29,22%;29,29%;46,07%;7,13%;1,07;1,81;3,59;0,27;3,12;32,98%;18,04%;13,69%
POMO4;2;3;1;8,28;14,78%;41,24%;28,59%;6,95%;1,09;1;2,37;0,95;1,7;24,73%;16,33%;13,14%
RECV3;2;3;1;13,79;57,21%;54,19%;12,43%;15,88%;1,2;1,89;0,91;0,83;2,47;36,76%;29,83%;16,42%
RSUL4;2;3;1;67,39;17,77%;27,64%;23,36%;0,00%;1,06;9,66;1,63;-0,46;2,65;41,05%;21,75%;15,11%
SBSP3;2;3;1;111,62;14,98%;24,91%;26,66%;3,34%;2,01;14,98;1,99;1,17;1,09;53,87%;43,91%;26,93%
TECN3;2;3;1;6,84;4,83%;0,00%;15,53%;3,49%;1,01;1,03;1,04;0,18;3,2;54,67%;16,13%;15,17%
TGMA3;2;3;1;35,27;9,18%;7,33%;28,62%;7,31%;1,09;4,19;2,41;-0,37;3,2;21,57%;17,64%;12,90%
VIVA3;2;3;1;25;28,01%;23,21%;28,05%;2,64%;2,22;3,1;2,26;0,4;3,54;70,11%;27,44%;27,44%
VULC3;2;3;1;19,34;17,52%;32,63%;26,62%;8,39%;1,69;2,13;2,42;0,02;3,74;41,88%;18,82%;18,63%
